time_iso8601,forks_cumulative
2023-03-16 00:00:00+00:00,1
2023-03-17 00:00:00+00:00,2
2023-03-18 00:00:00+00:00,4
2023-03-20 00:00:00+00:00,5
2023-03-28 00:00:00+00:00,7
2023-03-29 00:00:00+00:00,10
2023-03-30 00:00:00+00:00,13
2023-03-31 00:00:00+00:00,17
2023-04-01 00:00:00+00:00,23
2023-04-02 00:00:00+00:00,99
2023-04-03 00:00:00+00:00,349
2023-04-04 00:00:00+00:00,586
2023-04-05 00:00:00+00:00,848
2023-04-06 00:00:00+00:00,1130
2023-04-07 00:00:00+00:00,1435
2023-04-08 00:00:00+00:00,1710
2023-04-09 00:00:00+00:00,1959
2023-04-10 00:00:00+00:00,2274
2023-04-11 00:00:00+00:00,2691
2023-04-12 00:00:00+00:00,3645
2023-04-13 00:00:00+00:00,5334
2023-04-14 00:00:00+00:00,7250
2023-04-15 00:00:00+00:00,8548
2023-04-16 00:00:00+00:00,9614
2023-04-17 00:00:00+00:00,10962
2023-04-18 00:00:00+00:00,11889
2023-04-19 00:00:00+00:00,12561
2023-04-20 00:00:00+00:00,13155
2023-04-21 00:00:00+00:00,13653
2023-04-22 00:00:00+00:00,14060
2023-04-23 00:00:00+00:00,14674
2023-04-24 00:00:00+00:00,15991
2023-04-25 00:00:00+00:00,16964
2023-04-26 00:00:00+00:00,17587
2023-04-27 00:00:00+00:00,18417
2023-04-28 00:00:00+00:00,18924
2023-04-29 00:00:00+00:00,19227
2023-04-30 00:00:00+00:00,19502
2023-05-01 00:00:00+00:00,19776
2023-05-02 00:00:00+00:00,20051
2023-05-03 00:00:00+00:00,20358
2023-05-04 00:00:00+00:00,20692
2023-05-05 00:00:00+00:00,20976
2023-05-06 00:00:00+00:00,21269
2023-05-07 00:00:00+00:00,21492
2023-05-08 00:00:00+00:00,21717
2023-05-09 00:00:00+00:00,21907
2023-05-10 00:00:00+00:00,22100
2023-05-11 00:00:00+00:00,22259
2023-05-12 00:00:00+00:00,22403
2023-05-13 00:00:00+00:00,22518
2023-05-14 00:00:00+00:00,22650
2023-05-15 00:00:00+00:00,22795
2023-05-16 00:00:00+00:00,22929
2023-05-17 00:00:00+00:00,23060
2023-05-18 00:00:00+00:00,23187
2023-05-19 00:00:00+00:00,23300
2023-05-20 00:00:00+00:00,23397
2023-05-21 00:00:00+00:00,23476
2023-05-22 00:00:00+00:00,23644
2023-05-23 00:00:00+00:00,23758
2023-05-24 00:00:00+00:00,23870
2023-05-25 00:00:00+00:00,23989
2023-05-26 00:00:00+00:00,24102
2023-05-27 00:00:00+00:00,24185
2023-05-28 00:00:00+00:00,24254
2023-05-29 00:00:00+00:00,24337
2023-05-30 00:00:00+00:00,24423
2023-05-31 00:00:00+00:00,24507
2023-06-01 00:00:00+00:00,24561
2023-06-02 00:00:00+00:00,24633
2023-06-03 00:00:00+00:00,24709
2023-06-04 00:00:00+00:00,24765
2023-06-05 00:00:00+00:00,24862
2023-06-06 00:00:00+00:00,24944
2023-06-07 00:00:00+00:00,25011
2023-06-08 00:00:00+00:00,25084
2023-06-09 00:00:00+00:00,25146
2023-06-10 00:00:00+00:00,25189
2023-06-11 00:00:00+00:00,25244
